scene	sentiment
150	0.0
151	0
152	0.0384615384615
153	0
154	0.125
155	0
156	-0.05
157	0
158	0.0
159	-0.0454545454545
160	0
161	0
162	0
163	0.0769230769231
164	0
165	0
166	-0.0666666666667
167	-0.05
168	0
169	0.0
170	0
171	-0.1
172	0
173	-0.025
174	0
175	-0.117647058824
176	0
177	-0.111111111111
178	0
179	-0.111111111111
180	0
181	0
182	0.0
183	-0.05
184	0
185	0
186	0.1
187	0
188	0
189	0
190	0.0
191	0
192	0.0769230769231
193	0.0666666666667
194	0.0833333333333
195	-0.1
196	0.0588235294118
197	0
198	0.0769230769231
199	0
200	0
201	0
202	0
203	-0.037037037037
204	0
205	0
206	0
207	0
208	0
209	0.0
210	-0.0769230769231
211	0
212	-0.05
213	0
214	-0.2
215	-0.1
216	-0.0384615384615
217	0
218	0
219	0
220	0
221	-0.0625
222	0
223	0.0625
224	0
225	0.0
226	0
227	0
228	0.142857142857
229	0
230	0.5
231	0
232	0.0769230769231
233	0
234	0
235	-0.0833333333333
236	-0.0416666666667
237	0.0454545454545
238	0
239	0.0714285714286
240	0
241	0
242	0
243	0
244	-0.0571428571429
245	-0.0344827586207
246	0.1
247	0
248	-0.0769230769231
249	-0.0714285714286
250	-0.0714285714286
251	0.0454545454545
252	0
253	0.125
254	0
255	0.0869565217391
256	0
257	0
258	0.0434782608696
259	0
260	0.037037037037
261	0
262	0.047619047619
263	0
264	0
265	0
266	0.0
267	-0.0833333333333
268	-0.125
269	0
270	0
271	0
272	0
273	-0.0909090909091
274	0
275	-0.0666666666667
276	0
277	0
278	0
279	-0.0714285714286
280	0
281	0
282	0.0
283	0
284	0.04
285	0
286	-0.0833333333333
287	0
288	0.111111111111
289	0.0666666666667
290	-0.0666666666667
291	-0.0526315789474
292	0
293	-0.0625
294	0
295	0
296	-0.142857142857
297	0
298	0.0
299	-0.1
300	0
301	0.0204081632653
302	0
303	0
304	0.1
305	0
306	0
307	-0.0333333333333
308	0.0
309	0
310	-0.0666666666667
311	-0.0384615384615
312	0
313	0
314	0
315	-0.0588235294118
316	-0.0714285714286
317	0
318	0
319	0
320	0
